Top raw, top Filtered, Bottom Raw, Bottom Filtered
1650,550,1323,441,
1469,1039,1323,882,
1406,1508,1248,1298,
1406,1427,1251,1274,
1122,1311,966,1155,
1685,1404,966,1061,
1549,1452,1095,1009,
1549,1594,1282,1114,
1549,1549,1216,1197,
1554,1550,1216,1238,
1594,1565,1353,1261,
1594,1580,1336,1301,
1313,1500,1244,1311,
1316,1407,1244,1274,
1461,1363,1307,1265,
1461,1412,1207,1252,
1584,1502,1470,1328,
1234,1426,1470,1382,
1361,1393,1313,1417,
1361,1318,1161,1314,
1551,1424,1324,1266,
1469,1460,1324,1269,
1469,1496,1090,1246,
1227,1388,1123,1179,
1068,1254,1380,1197,
1569,1288,1380,1294,
1569,1402,1400,1386,
1441,1526,1431,1403,
1518,1509,1045,1292,
1370,1443,1045,1173,
1370,1419,1236,1108,
1539,1426,1116,1132,
1567,1492,1237,1196,
1623,1576,1237,1196,
1623,1604,1116,1196,
1421,1555,1150,1167,
1269,1437,1252,1172,
1264,1318,1252,1218,
1264,1265,1076,1193,
1499,1342,1471,1266,
927,1230,1607,1384,
1568,1331,1607,1561,
1568,1354,1315,1509,
1455,1530,1308,1410,
1500,1507,1191,1271,
1500,1485,1191,1230,
1481,1493,967,1116,
1253,1411,1418,1192,
1427,1387,948,1111,
1427,1369,948,1104,
1269,1374,922,939,
1336,1344,897,922,
1085,1230,1227,1015,
1085,1168,1227,1117,
1555,1241,1238,1230,
1033,1224,1105,1190,
1618,1402,1200,1181,
1618,1423,1200,1168,
1031,1422,1267,1222,
1445,1364,860,1109,
1699,1391,1022,1049,
1699,1614,1022,968,
1265,1554,1221,1088,
1298,1420,1328,1190,
1298,1287,1328,1292,
1687,1427,1236,1297,
1624,1536,1085,1216,
1161,1490,644,988,
1161,1315,644,791,
1125,1149,1143,810,
1158,1148,1342,1043,
1649,1310,1198,1227,
1649,1485,1198,1246,
1260,1519,1447,1281,
1411,1440,1312,1319,
1657,1442,1057,1272,
1657,1575,1057,1142,
1332,1548,1457,1190,
64351,1482,1045,1186,
1587,1458,1134,1212,
1192,1412,1134,1104,
1745,1508,1076,1114,
1612,1516,1219,1143,
1612,1656,1534,1276,
1492,1572,1534,1429,
1356,1486,1101,1389,
1474,1440,1128,1254,
1474,1434,1029,1086,
1439,1462,1029,1062,
1150,1354,899,985,
854,1147,1348,1092,
854,952,1348,1198,
1291,999,1047,1247,
1483,1209,1409,1268,
1483,1419,1119,1191,
1410,1458,1119,1215,
1332,1408,868,1035,
1397,1379,1142,1043,
1397,1375,999,1003,
1393,1395,999,1046,
1605,1465,950,982,
1402,1466,1051,1000,
1402,1469,907,969,
1425,1409,907,955,
1661,1496,1034,949,
1823,1636,1130,1023,
1823,1769,1219,1127,
1381,1675,1219,1189,
1463,1555,1415,1284,
1463,1435,1438,1357,
1160,1362,1280,1377,
1797,1473,1280,1332,
1626,1527,1338,1299,
1626,1683,1340,1319,
1667,1639,1477,1385,
1846,1713,1477,1431,
1622,1711,1318,1424,
1622,1696,1542,1445,
1763,1669,1542,1467,
1722,1702,1685,1589,
1885,1790,1398,1541,
1885,1830,1445,1509,
1601,1790,1445,1429,
1876,1787,1185,1358,
1876,1784,1509,1379,
1660,1804,1601,1431,
1426,1654,1601,1570,
1837,1641,1570,1590,
1837,1700,1230,1467,
1762,1812,1491,1430,
2174,1924,1491,1404,
1440,1792,1617,1533,
1440,1684,1870,1659,
1627,1502,1595,1694,
1050,1372,1595,1686,
1050,1242,1486,1558,
1713,1271,1636,1572,
1633,1465,1599,1573,
1752,1699,1599,1611,
1752,1712,1257,1485,
2334,1946,1467,1441,
